0,1
0.1,1.030318
0.2,1.148724
0.3,1.206318
0.4,1.25247
0.5,1.369418
0.6,1.543931
0.7,1.718175
0.8,1.880563
0.9,2.082907
1,2.393629
1.1,2.693276
1.2,3.019968
1.3,3.325879
1.4,3.606145
1.5,4.023782
1.6,4.262377
1.7,4.645846
1.8,4.972744
1.9,5.359949
2,5.625946
2.1,5.921831
2.2,6.060711
2.3,6.142815
2.4,6.082367
2.5,6.148621
2.6,5.974581
2.7,6.199737
2.8,6.119524
2.9,5.744092
3,5.359139
3.1,4.789833
3.2,4.463429
3.3,4.178548
3.4,4.042305
3.5,3.581541
3.6,3.165894
3.7,2.769968
3.8,2.405644
3.9,2.083273
4,1.991943
4.1,1.852675
4.2,1.589873
4.3,1.441404
4.4,1.355103
4.5,1.301055
4.6,1.143403
4.7,1.084482
4.8,1.04269
4.9,0.98839
5,0.937907
5.1,0.880576
5.2,0.914142
5.3,0.875121
5.4,0.846375
5.5,0.802697
5.6,0.79125
5.7,0.835461
5.8,0.80673
5.9,0.820655
6,0.895887
6.1,0.919974
6.2,0.97791
6.3,1.047215
6.4,1.08427
6.5,1.175237
6.6,1.222439
6.7,1.32487
6.8,1.48066
6.9,1.716284
7,1.911098
7.1,2.0334
7.2,2.289556
7.3,2.532324
7.4,2.716467
7.5,2.99622
7.6,3.397746
7.7,3.757782
7.8,4.206929
7.9,4.197233
8,4.528553
8.1,4.762783
8.2,4.896374
8.3,5.342157
8.400001,5.50949
8.5,5.55887
8.6,5.31526
8.7,5.60011
8.8,5.48222
8.900001,5.45616
9,5.573631
9.1,5.250693
9.2,5.358029
9.3,5.016172
9.400001,4.663105
9.5,4.214289
9.6,3.698678
9.7,3.578232
9.8,3.184461
9.900001,3.081141
